1、 最高法公布最新侵犯公民人身自由赔偿金标准：每日462.44元。
2、 政府透明度指数报告发布：上海、北京、山东、浙江、广东排名省级前五。
3、 全国多地提醒慎入网约车行业：运力饱和，每辆车日均不超20单。
4、 上海：6月1日起，将12项辅助生殖技术纳入医保支付。
5、 天津、南昌等多地地铁宣布：同站同出10分钟内免费。
6、 福建福州：举报鬼秤有奖，最高100万，全民参与监督维权。
7、 李家超：将建议提高内地访港旅客免税额，以提升访客购物欲。
8、 抖音快手微信公布微短剧备案细则：须获得备案号后方可播出。
9、 多家出版社抵制京东618图书大促：无底线打折伤害全行业。
10、 大模型“价格战”升级，阿里云主力模型降价97%，百度官宣两大模型免费。
11、 马斯克脑机接口公司第二位受试者获FDA批准，今年计划为10人植入芯片。
12、 遭遇湍流，新加坡航空一波音客机紧急迫降曼谷机场，致2死30伤。
13、 阿根廷总统指责西班牙首相夫人，并拒绝道歉，西班牙宣布永久撤回驻阿根廷大使。
14、 以防长称：以色列不是国际刑事法院的缔约国，不承认国际刑事法院的权威性。
15、 伊朗将于6月28日举行新一届总统选举。
【微语】早安，朋友！一天好心情不仅从清晨开始，而且从心晨开始。保持好状态，让心晨明朗阳光，给心城自由开放，还新晨如云舒卷。
